134.7	9065.0	634.6
158.9	12012.0	840.8
198.6	15055.0	1053.9
238.9	16687.0	1168.1
117.1	9801.0	686.1
56.0	4124.0	288.7
183.9	13707.0	959.5
121.5	7880.0	551.6
274.6	22426.0	1569.8
102.1	7765.0	543.6
58.0	4227.0	295.9
467.0	30253.0	2117.7
262.2	18212.0	1274.8
88.6	5935.0	415.5
151.4	10696.0	748.7
202.5	13518.0	946.3
235.9	17371.0	1216.0
176.8	12871.0	901.0
77.9	5434.0	380.4
309.5	23646.0	1655.2
391.5	26318.0	1842.3
280.1	18997.0	1329.8
303.4	21190.0	1483.3
236.1	15567.0	1089.7
215.4	15002.0	1050.1
119.7	8604.0	602.3
202.3	14764.0	1033.5
71.8	5424.0	379.7
96.7	7241.0	506.9
127.8	8691.0	608.4
66.8	4847.0	339.3
149.9	10715.0	750.1
185.6	14634.0	1024.4
82.4	6673.0	467.1
132.7	10446.0	731.2
