                    1                    6
                    2                    7
                    3                   14
                    4                   16
                    5                   15
                    6                   11
                    7                   13
                    8                   23
                    9                   19
                   10                   14
                   11                   12
                   12                   11
                   13                    7
                   14                    8
                   15                    5
                   16                    8
                   17                    3
                   18                    2
                   19                    2
                   20                    1
                   21                    1
                   22                    0
                   23                    0
                   24                    0
                   25                    1
                   26                    0
                   27                    0
                   28                    0
                   29                    0
                   30                    0
